Features,SVM_Accuracy,SVM_Precision,SVM_Recall,SVM_F1,RF_Accuracy,RF_Precision,RF_Recall,RF_F1
30,0.6862955032119914,0.6923479219798988,0.6862955032119914,0.684920516231703,0.5835117773019272,0.6174739820660694,0.5835117773019272,0.5831998244255957
40,0.6852248394004282,0.6925671644769082,0.6852248394004282,0.6816477862062597,0.6038543897216274,0.6434473447247044,0.6038543897216274,0.6020803920592968
50,0.6948608137044968,0.7016690586116897,0.6948608137044968,0.6902137413651639,0.6038543897216274,0.6418743072779691,0.6038543897216274,0.600127865016302
60,0.6916488222698073,0.703290648406434,0.6916488222698073,0.6864134810920175,0.6145610278372591,0.647143638591895,0.6145610278372591,0.6121181313415875
70,0.6970021413276232,0.7046292000258303,0.6970021413276232,0.6966787217503714,0.607066381156317,0.639655372507812,0.607066381156317,0.603159845153136
80,0.7002141327623126,0.7067700069042929,0.7002141327623126,0.6996583255126181,0.6113490364025695,0.6406869906239885,0.6113490364025695,0.6086390554896033
90,0.7173447537473233,0.7228748830861039,0.7173447537473233,0.7168765074131198,0.6274089935760171,0.6534091881956103,0.6274089935760171,0.6232788264222598
98,0.715203426124197,0.7179387094814175,0.715203426124197,0.7132067883113239,0.6295503211991434,0.6650806329840875,0.6295503211991434,0.6263363449440535
