Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.5770877944325482,0.6012525314234363,0.5770877944325482,0.5745884175710986
SVM,0.5289079229122056,0.582529450142537,0.5289079229122056,0.5411363809639224
KNN,0.49678800856531047,0.5470628636797613,0.49678800856531047,0.5023510925775034
Decision Tree,0.48501070663811563,0.512290528806875,0.48501070663811563,0.4886038518610834
Logistic Regression,0.4550321199143469,0.5110280863393967,0.4550321199143469,0.4660005668111602
